path,size_bytes,width,height,ext,folder_guess,last_modified
/public/hero.jpg,19396,320,239,jpg,hero.jpg,2026-01-04T15:29:31+0100
/public/images/clients/client-08.svg,81429,400,435,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-09.svg,51264,400,400,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-07.svg,103235,400,138,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-12.svg,35402,400,122,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-06.svg,72746,400,102,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-10.svg,30166,400,119,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-04.svg,139349,400,214,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-05.svg,62231,400,120,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-11.svg,24275,400,149,svg,images,2025-12-21T15:37:45+0100
/public/images/clients/client-01.svg,35402,400,122,svg,images,2025-12-21T15:37:44+0100
/public/images/clients/client-02.svg,72455,400,124,svg,images,2025-12-21T15:37:44+0100
/public/images/clients/client-03.svg,131960,400,161,svg,images,2025-12-21T15:37:44+0100
/public/images/partners/bounce-logo.svg,432,320,96,svg,images,2026-01-01T22:53:29+0100
/public/images/partners/iamrobot-logo.svg,619,320,96,svg,images,2026-01-01T22:53:36+0100
/public/images/partners/nannybag-logo.svg,536,320,96,svg,images,2026-01-01T22:53:39+0100
/public/images/partners/tum-logo.svg,670,320,96,svg,images,2026-01-01T22:53:33+0100
/public/images/placeholder.svg,518,512,512,svg,images,2026-01-01T22:53:26+0100
/public/Velo Gallery/gin-tasting-640w.webp,39020,640,427,webp,Velo Gallery,2026-01-04T14:47:36+0100
/public/Velo Gallery/gallery-carousel/our story -80w.webp,1098,,,webp,Velo Gallery,2026-01-04T15:00:57+0100
/public/Velo Gallery/gallery-carousel/DSC07929-640w.jpg,53227,,,jpg,Velo Gallery,2026-01-04T14:47:13+0100
/public/Velo Gallery/gallery-carousel/Galerie-320w.webp,10486,,,webp,Velo Gallery,2026-01-04T14:47:02+0100
/public/Velo Gallery/gallery-carousel/DSC08563.jpg,2222988,,,jpg,Velo Gallery,2026-01-03T17:02:18+0100
/public/Velo Gallery/gallery-carousel/A7401220-640w.jpg,52651,,,jpg,Velo Gallery,2026-01-04T14:47:27+0100
/public/Velo Gallery/gallery-carousel/TeamEvent und Workshops.jpg,27803242,,,jpg,Velo Gallery,2026-01-03T17:02:24+0100
/public/Velo Gallery/gallery-carousel/20230326-DSC05298-640w.jpg,48488,,,jpg,Velo Gallery,2026-01-04T14:47:29+0100
/public/Velo Gallery/gallery-carousel/our story .JPG,19991306,,,jpg,Velo Gallery,2026-01-03T17:02:15+0100
/public/Velo Gallery/gallery-carousel/A7401419-120w.webp,4862,,,webp,Velo Gallery,2026-01-04T15:00:53+0100
